第一申请人,第一申请人地区,第一申请人城市,first_year,last_year,quantum_patent_count,quantum_score_sum,quantum_score_mean,main_categories,chain_positions,matched_terms,high_related_count,medium_related_count,low_related_count,timefreq_candidate_count,first_applicant_types,main_chain_position,main_quantum_category,firm_relevance
北京交通大学,中国,北京市,2021,2022,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,2,学校,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京京城增材科技有限公司,中国,北京,2025,2025,1,7,7.0,量子计算,量子计算系统,量子态；量子线路,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
北京众驰伟业科技发展有限公司,中国,北京市,2023,2023,1,10,10.0,量子计算,量子计算系统,量子比特；量子计算,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
北京信安世纪科技股份有限公司,中国,北京,2025,2025,1,9,9.0,量子通信与安全,量子通信与安全,后量子密码；量子算法,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京信息科学技术研究院,中国,北京市,2021,2022,2,10,5.0,量子计算,量子计算系统,量子计算；量子计算机,0,2,0,0,科研单位,量子计算系统,量子计算,较高相关企业
北京信息科技大学,中国,北京,2025,2025,1,3,3.0,量子传感,其他量子相关/待复核,量子技术,0,0,1,0,学校,其他量子相关/待复核,量子传感,候选/待复核企业
北京信息科技大学,中国,北京市,2021,2021,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,学校,量子通信与安全,量子通信与安全,候选/待复核企业
北京信而泰科技股份有限公司,中国,北京市,2021,2021,2,17,8.5,量子通信与安全,量子通信与安全,保真度；量子密钥；量子通信,1,1,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京先声教育科技有限公司,中国,北京市,2021,2021,1,5,5.0,量子传感,量子传感器/精密测量,MOT,0,1,0,0,企业,量子传感器/精密测量,量子传感,候选/待复核企业
北京全路通信信号研究设计院集团有限公司,中国,北京,2025,2025,2,29,14.5,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子态；量子测量；量子通信,2,0,0,0,"企业；企业,企业",量子通信与安全,量子通信与安全,核心量子企业
北京华信泰科技股份有限公司,中国,北京,2024,2025,2,10,5.0,量子传感,量子计量/时间频率/PNT候选,原子钟；叠加态,0,1,0,1,企业,量子计量/时间频率/PNT候选,量子传感,较高相关企业
北京华信泰科技股份有限公司,中国,北京市,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京华大九天科技股份有限公司,中国,北京,2024,2024,1,5,5.0,量子传感,量子传感器/精密测量,量子测量,0,1,0,0,企业,量子传感器/精密测量,量子传感,候选/待复核企业
北京华璨电子有限公司,中国,北京,2025,2025,1,6,6.0,量子计算,量子计算系统,量子优化；量子比特,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
北京华航无线电测量研究所,中国,北京市,2023,2023,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,科研单位,其他量子相关/待复核,量子基础概念,候选/待复核企业
北京华鲲振宇智能科技有限责任公司,中国,北京,2025,2025,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,"企业,企业",量子计算系统,量子计算,候选/待复核企业
北京卓越航导科技有限责任公司,中国,北京市,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子时标,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京南得空间信息技术有限公司,中国,北京,2025,2025,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,企业,其他量子相关/待复核,量子基础概念,候选/待复核企业
北京卫星导航中心,中国,北京,2024,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟频率；铯原子钟,0,0,0,1,其他,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京卫星导航中心,中国,北京市,2021,2023,3,9,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟频率,0,0,0,3,"其他；其他,机关团体",量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京卫星环境工程研究所,中国,北京,2024,2024,1,5,5.0,量子传感,量子传感器/精密测量,NV色心；金刚石NV色心,0,1,0,0,科研单位,量子传感器/精密测量,量子传感,候选/待复核企业
北京卫星环境工程研究所,中国,北京市,2023,2023,1,5,5.0,量子传感,量子传感器/精密测量,NV色心,0,1,0,0,科研单位,量子传感器/精密测量,量子传感,候选/待复核企业
北京印刷学院,中国,北京,2024,2024,1,10,10.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发；量子比特,1,0,0,0,学校,量子通信与安全,量子通信与安全,较高相关企业
北京印刷学院,中国,北京市,2023,2023,1,19,19.0,量子通信与安全,量子通信与安全,量子态；量子比特；量子测量；量子网络,1,0,0,0,学校,量子通信与安全,量子通信与安全,较高相关企业
北京启源问天量子科技有限公司,中国,北京,2024,2024,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
北京启衡星生物科技有限公司,中国,北京,2024,2024,1,5,5.0,量子计算,量子计算系统,qubit,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
北京启衡星生物科技有限公司,中国,北京市,2022,2022,1,5,5.0,量子计算,量子计算系统,qubit,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
北京四方继保工程技术有限公司,中国,北京,2025,2025,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,"企业,企业",量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京四方继保自动化股份有限公司,中国,北京市,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京国盾量子信息技术有限公司,中国,北京市,2022,2023,7,46,6.571428571428571,量子通信与安全,量子通信与安全,激光器；量子密钥；量子密钥分发；量子网络；量子通信,2,5,0,0,企业,量子通信与安全,量子通信与安全,核心量子企业
北京国科量子共创通信科技研究院有限公司,中国,北京市,2022,2022,1,10,10.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发；量子通信,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京国都互联科技有限公司,中国,北京,2025,2025,2,10,5.0,量子通信与安全,量子通信与安全,量子密钥,0,2,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京地航时代科技有限公司,中国,北京,2025,2025,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
北京夏初科技集团有限公司,中国,北京市,2023,2023,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
北京大学,中国,北京,2024,2025,18,149,8.277777777777779,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子计量/时间频率/PNT候选；量子软件/算法/模拟；量子通信与安全,光量子计算；光钟；单光子探测器；原子钟；原子频标；激光器；离子阱；稀释制冷机；量子信息；量子态；量子比特；量子测量；量子精密测量；量子纠缠；量子纠错；量子线路；量子芯片；量子计算；量子计算机；量子通信；量子门；频率基准,8,5,1,4,"学校；学校,企业",量子计算系统,量子传感,核心量子企业
北京大学,中国,北京市,2021,2023,35,230,6.571428571428571,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子计量/时间频率/PNT候选；量子软件/算法/模拟；量子通信与安全,QKD；光钟；单光子探测器；原子钟；原子钟频率；叠加态；拓扑量子比特；激光器；稀释制冷机；超导量子比特；量子信息；量子密钥；量子密钥分发；量子态；量子比特；量子测量；量子算法；量子线路；量子芯片；量子计算；量子计算机；量子通信；量子门；铯原子钟；频率基准；频率标准,11,5,6,13,学校,量子计量/时间频率/PNT候选,量子传感,核心量子企业
北京大学深圳研究生院,中国,深圳,2024,2024,1,4,4.0,量子基础概念,其他量子相关/待复核,叠加态；量子态,0,0,1,0,学校,其他量子相关/待复核,量子基础概念,候选/待复核企业
北京天融信网络安全技术有限公司,中国,北京,2025,2025,1,6,6.0,量子计算,量子计算系统,量子机器学习；量子计算,0,1,0,0,"企业,企业,企业",量子计算系统,量子计算,候选/待复核企业
北京天融信网络安全技术有限公司,中国,北京市,2021,2023,2,19,9.5,量子传感；量子通信与安全,量子计算系统；量子通信与安全,量子信息；量子密钥；量子态；量子比特,1,1,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京威睛光学技术有限公司,中国,北京,2025,2025,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京安御道合科技有限公司,中国,北京市,2021,2021,1,10,10.0,量子通信与安全,量子通信与安全,量子密钥；量子网络,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京安证通信息科技股份有限公司,中国,北京,2025,2025,1,10,10.0,量子通信与安全,量子计量/时间频率/PNT候选,原子钟；量子密钥；量子密钥分发,1,0,0,0,企业,量子计量/时间频率/PNT候选,量子通信与安全,较高相关企业
北京宏宇航天技术有限公司,中国,北京,2025,2025,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京富盛量子科技有限公司,中国,北京,2024,2024,1,8,8.0,量子通信与安全,量子通信与安全,单光子探测器；量子密钥；量子密钥分发,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京小米移动软件有限公司,中国,北京市,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,时间频率传输,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京工业大学,中国,北京,2024,2024,3,26,8.666666666666666,量子计算,量子计算系统；量子软件/算法/模拟,叠加态；量子仿真；量子叠加；量子态；量子比特；量子线路；量子计算,1,2,0,0,学校,量子计算系统,量子计算,核心量子企业
北京工业大学,中国,北京市,2022,2023,2,10,5.0,量子计算；量子通信与安全,量子计算系统；量子通信与安全,量子计算；量子通信,0,2,0,0,学校,量子通信与安全,量子通信与安全,较高相关企业
北京工商大学,中国,北京,2025,2025,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,学校,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
北京市农林科学院信息技术研究中心,中国,北京,2024,2025,2,7,3.5,量子传感；量子基础概念,其他量子相关/待复核；量子计量/时间频率/PNT候选,原子钟；叠加态；量子叠加；量子态,0,0,1,1,科研单位,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京市计量检测科学研究院,中国,北京,2025,2025,1,18,18.0,量子传感,量子传感器/精密测量,量子态；量子测量；量子算法；量子计算,1,0,0,0,科研单位,量子传感器/精密测量,量子传感,较高相关企业
北京师范大学,中国,北京,2024,2024,1,14,14.0,量子计算,量子计算系统,量子态；量子电路；量子计算,1,0,0,0,学校,量子计算系统,量子计算,较高相关企业
北京师范大学,中国,北京市,2023,2023,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0,学校,量子通信与安全,量子通信与安全,候选/待复核企业
北京庚顿数据科技有限公司,中国,北京,2024,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京彤程创展科技有限公司,中国,北京市,2023,2023,1,5,5.0,量子计算硬件,量子计算硬件/量子芯片,离子阱,0,1,0,0,企业,量子计算硬件/量子芯片,量子计算硬件,候选/待复核企业
北京德科瑞医药科技有限公司,中国,北京,2025,2025,1,4,4.0,量子基础概念,其他量子相关/待复核,量子叠加,0,0,1,0,企业,其他量子相关/待复核,量子基础概念,候选/待复核企业
北京拍链数字技术有限公司,中国,北京,2024,2024,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
北京控制工程研究所,中国,北京市,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率标准,0,0,0,1,科研单位,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京握奇数据股份有限公司,中国,北京,2025,2025,1,9,9.0,量子通信与安全,量子通信与安全,抗量子攻击；量子算法,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京握奇智能科技有限公司,中国,北京,2025,2025,3,15,5.0,量子通信与安全,量子通信与安全,后量子密码；抗量子密码,0,3,0,0,"企业,企业",量子通信与安全,量子通信与安全,较高相关企业
北京方寸无忧科技发展有限公司,中国,北京,2025,2025,1,9,9.0,量子计算,量子计算系统,量子态；量子纠缠；量子计算,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
北京无线电测量研究所,中国,北京,2025,2025,1,5,5.0,量子传感,其他量子相关/待复核,量子技术,0,1,0,0,科研单位,其他量子相关/待复核,量子传感,候选/待复核企业
北京无线电测量研究所,中国,北京市,2022,2022,1,5,5.0,量子通信与安全,量子通信与安全,量子网络,0,1,0,0,科研单位,量子通信与安全,量子通信与安全,候选/待复核企业
北京无线电计量测试研究所,中国,北京,2024,2025,16,67,4.1875,量子传感；量子计算硬件,量子传感器/精密测量；量子计算硬件/量子芯片；量子计量/时间频率/PNT候选,光钟；原子钟；原子频标；时间频率比对；激光器；离子阱；量子精密测量；量子计算；铯原子钟；频率基准,1,3,0,12,科研单位,量子计量/时间频率/PNT候选,量子传感,核心量子企业
北京无线电计量测试研究所,中国,北京市,2021,2024,31,105,3.3870967741935485,量子传感；量子基础概念；量子计算硬件,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计量/时间频率/PNT候选,冷原子钟；原子钟；原子钟频率；原子频标；叠加态；囚禁离子；时间频率传递；时间频率比对；氢原子钟；离子阱；量子测量；量子精密测量；铯原子钟；频率基准,0,4,1,26,科研单位,量子计量/时间频率/PNT候选,量子传感,核心量子企业
北京易华录信息技术股份有限公司,中国,北京市,2022,2022,1,15,15.0,量子通信与安全,量子通信与安全,量子信息；量子密钥；量子密钥分发；量子测量,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京星际荣耀空间科技有限公司,中国,北京市,2021,2021,1,5,5.0,量子计算,量子计算系统,量子电路,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
北京智芯微电子科技有限公司,中国,北京市,2022,2023,2,10,5.0,量子传感；量子通信与安全,量子传感器/精密测量；量子通信与安全,NV色心；量子密钥；量子密钥分配,0,2,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京有竹居网络技术有限公司,中国,北京,2024,2024,1,3,3.0,量子计算,量子计算系统,量子线路,0,0,1,0,企业,量子计算系统,量子计算,候选/待复核企业
北京机电工程研究所,中国,北京市,2022,2022,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,科研单位,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京杭勤网络科技有限公司,中国,北京,2025,2025,1,26,26.0,量子通信与安全,量子通信与安全,保真度；量子密钥；量子密钥分发；量子态；量子比特；量子纠缠；量子通信；量子门,1,0,0,0,企业,量子通信与安全,量子通信与安全,核心量子企业
北京格尔国信科技有限公司,中国,北京,2024,2024,1,9,9.0,量子通信与安全,量子通信与安全,抗量子加密；量子算法,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京森逸智能科技有限公司,中国,北京,2025,2025,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
北京正道量子科技有限公司,中国,北京,2025,2025,2,20,10.0,量子通信与安全,量子通信与安全,激光器；量子安全通信；量子密钥；量子密钥分发；量子态,1,1,0,0,企业,量子通信与安全,量子通信与安全,核心量子企业
北京正道量子科技有限公司,中国,北京市,2022,2023,4,24,6.0,量子通信与安全,量子通信与安全,单光子探测器；激光器；量子安全通信；量子密钥；量子密钥分发,1,3,0,0,企业,量子通信与安全,量子通信与安全,核心量子企业
北京泰岳天成科技有限公司,中国,北京,2024,2024,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
北京洞微科技发展有限公司,中国,北京,2025,2025,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
北京海泰方圆科技股份有限公司,中国,北京,2025,2025,3,15,5.0,量子通信与安全,量子通信与安全,抗量子攻击,0,3,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京海泰方圆科技股份有限公司,中国,北京市,2023,2023,2,10,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,2,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京清大科越股份有限公司,中国,北京,2024,2024,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,"企业,学校",量子计算系统,量子计算,候选/待复核企业
北京炎黄国芯科技有限公司,中国,北京,2024,2025,3,27,9.0,量子基础概念；量子计算,其他量子相关/待复核；量子计算系统,量子态；量子电路；量子计算；量子门,2,0,1,0,企业,量子计算系统,量子计算,核心量子企业
北京燕山电子设备厂,中国,北京,2024,2024,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟频率,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京燕能电气技术有限公司,中国,北京,2024,2024,1,28,28.0,量子传感,量子传感器/精密测量,量子态；量子比特；量子测量；量子算法；量子纠缠；量子计算；量子门,1,0,0,0,企业,量子传感器/精密测量,量子传感,核心量子企业
北京爱克瑞特金刚石工具有限公司,中国,北京市,2023,2023,1,5,5.0,量子计算,量子计算系统,量子计算,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
北京环境特性研究所,中国,北京,2024,2024,1,4,4.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,科研单位,其他量子相关/待复核,量子基础概念,候选/待复核企业
北京玻色量子科技有限公司,中国,北京,2024,2025,5,33,6.6,量子计算；量子计算硬件,量子计算硬件/量子芯片；量子计算系统,光量子计算；量子比特；量子计算；量子计算机,2,3,0,0,企业,量子计算系统,量子计算,核心量子企业
北京玻色量子科技有限公司,中国,北京市,2021,2023,5,30,6.0,量子计算；量子计算硬件；量子通信与安全,量子计算硬件/量子芯片；量子计算系统；量子通信与安全,光量子计算；激光器；量子密钥；量子密钥分配；量子计算；量子计算机,1,4,0,0,企业,量子计算系统,量子计算,核心量子企业
北京理工大学,中国,北京,2024,2025,13,97,7.461538461538462,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,上游材料与核心部件；其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子通信与安全,QKD；单光子探测器；叠加态；抗量子攻击；离子阱；量子信息；量子信息技术；量子叠加；量子密钥；量子密钥分发；量子态；量子比特；量子测量；量子线路；量子计算；量子计算机；量子通信；量子门,4,8,1,0,学校,量子计算系统,量子计算,核心量子企业
北京理工大学,中国,北京市,2021,2023,6,40,6.666666666666667,量子传感；量子计算硬件；量子通信与安全,上游材料与核心部件；量子传感器/精密测量；量子计算硬件/量子芯片；量子通信与安全,MOT；抗量子攻击；激光器；离子阱；量子传感；量子传感器；量子态；量子技术；量子计算；量子计算机,2,4,0,0,学校,量子计算硬件/量子芯片,量子传感,核心量子企业
北京瑞迪时空信息技术有限公司,中国,北京,2025,2025,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,时间频率传递,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京电子科技学院,中国,北京,2024,2025,8,58,7.25,量子计算；量子通信与安全,量子计算系统；量子软件/算法/模拟；量子通信与安全,抗量子攻击；量子密钥；量子密钥分发；量子比特；量子算法；量子计算；量子计算机；量子通信,4,3,1,0,学校,量子通信与安全,量子通信与安全,核心量子企业
北京画无界科技有限公司,中国,北京,2025,2025,1,14,14.0,量子传感,量子计算系统,量子信息；量子比特；量子纠缠,1,0,0,0,企业,量子计算系统,量子传感,较高相关企业
北京百度网讯科技有限公司,中国,北京,2024,2025,168,2297,13.672619047619047,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子软件/算法/模拟；量子通信与安全,保真度；叠加态；激光器；物理量子比特；离子阱；超导量子比特；超导量子芯片；逻辑量子比特；量子仿真；量子信息；量子处理器；量子密钥；量子密钥分发；量子态；量子技术；量子模拟；量子比特；量子测量；量子电路；量子算法；量子纠缠；量子线路；量子网络；量子芯片；量子计算；量子计算机；量子通信；量子门,147,20,1,0,企业,量子计算系统,量子计算,核心量子企业
北京百度网讯科技有限公司,中国,北京市,2021,2023,149,2111,14.167785234899329,量子传感；量子计算；量子计算硬件；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算硬件/量子芯片；量子计算系统；量子软件/算法/模拟；量子通信与安全,保真度；叠加态；物理量子比特；离子阱；超导量子比特；超导量子芯片；逻辑量子比特；量子仿真；量子信息；量子化学；量子安全通信；量子密钥；量子密钥分发；量子并行；量子态；量子技术；量子模拟；量子比特；量子测量；量子电路；量子算法；量子纠缠；量子线路；量子网络；量子芯片；量子计算；量子计算机；量子通信；量子门；量子门保真度；门保真度,135,14,0,0,企业,量子计算系统,量子计算,核心量子企业
北京睿航至臻科技有限公司,中国,北京,2024,2024,1,9,9.0,量子通信与安全,量子通信与安全,量子纠缠；量子通信,1,0,0,0,企业,量子通信与安全,量子通信与安全,较高相关企业
北京石油化工学院,中国,北京,2024,2024,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,学校,量子计算系统,量子计算,候选/待复核企业
北京神州数码云科信息技术有限公司,中国,北京,2024,2024,3,37,12.333333333333334,量子基础概念；量子通信与安全,其他量子相关/待复核；量子通信与安全,量子信息；量子密钥；量子密钥分配；量子态；量子计算；量子通信；量子门,2,0,1,0,企业,量子通信与安全,量子通信与安全,核心量子企业
北京禹宏信安科技有限公司,中国,北京,2025,2025,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥；量子密钥分发,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
北京科杰科技有限公司,中国,北京,2025,2025,3,16,5.333333333333333,量子传感；量子基础概念；量子计算,其他量子相关/待复核；量子计量/时间频率/PNT候选；量子软件/算法/模拟,量子态；量子纠缠；量子纠错；频率标准,1,0,1,1,企业,量子计量/时间频率/PNT候选,量子传感,较高相关企业
北京空间机电研究所,中国,北京市,2022,2022,1,14,14.0,量子传感,量子计算系统,叠加态；量子信息；量子态；量子比特,1,0,0,0,科研单位,量子计算系统,量子传感,较高相关企业
北京空间飞行器总体设计部,中国,北京,2024,2025,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；铷原子钟；频率基准,0,0,0,2,科研单位,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京空间飞行器总体设计部,中国,北京市,2023,2023,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟,0,0,0,1,科研单位,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京立思辰金智科技有限公司,中国,北京,2025,2025,1,5,5.0,量子通信与安全,量子通信与安全,QKD；量子密钥；量子密钥分发,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
北京算讯科技有限公司,中国,北京市,2022,2022,1,5,5.0,量子通信与安全,量子通信与安全,量子密钥,0,1,0,0,企业,量子通信与安全,量子通信与安全,候选/待复核企业
北京耐数电子有限公司,中国,北京市,2023,2023,2,15,7.5,量子计算,量子计算系统,量子比特；量子计算,1,1,0,0,企业,量子计算系统,量子计算,较高相关企业
北京自动化控制设备研究所,中国,北京,2024,2025,4,14,3.5,量子传感；量子基础概念,其他量子相关/待复核；量子计量/时间频率/PNT候选,原子钟；量子态；频率基准,0,0,2,2,科研单位,量子计量/时间频率/PNT候选,量子传感,较高相关企业
北京自动化控制设备研究所,中国,北京市,2021,2023,3,13,4.333333333333333,量子传感,量子传感器/精密测量；量子计量/时间频率/PNT候选,原子钟；量子传感；量子传感器,0,2,0,1,科研单位,量子传感器/精密测量,量子传感,较高相关企业
北京航天发射技术研究所,中国,北京市,2022,2023,2,6,3.0,量子传感,量子计量/时间频率/PNT候选,原子钟；原子钟守时,0,0,0,2,科研单位,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京航天常兴科技发展股份有限公司,中国,北京,2024,2024,1,19,19.0,量子计算,量子计算系统,量子态；量子比特；量子计算；量子门,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
北京航天控制仪器研究所,中国,北京,2025,2025,1,5,5.0,量子通信与安全,量子通信与安全,量子通信,0,1,0,0,科研单位,量子通信与安全,量子通信与安全,候选/待复核企业
北京航天时代光电科技有限公司,中国,北京市,2021,2021,1,3,3.0,量子传感,量子计量/时间频率/PNT候选,频率基准,0,0,0,1,企业,量子计量/时间频率/PNT候选,量子传感,候选/待复核企业
北京航天智造科技发展有限公司,中国,北京,2024,2024,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
北京航天智造科技发展有限公司,中国,北京市,2024,2024,1,5,5.0,量子计算,量子计算系统,量子比特,0,1,0,0,企业,量子计算系统,量子计算,候选/待复核企业
北京航天驭星科技有限公司,中国,北京市,2023,2023,1,14,14.0,量子计算,量子计算系统,叠加态；量子比特；量子门,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
北京航空航天大学,中国,北京,2024,2025,24,146,6.083333333333333,量子传感；量子基础概念；量子计算；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,NV色心；qubits；分布式量子计算；原子干涉；原子钟；氢原子钟；激光器；磁光阱；量子传感；量子传感器；量子态；量子比特；量子测量；量子电路；量子精密测量；量子线路；量子计算；量子计算平台；量子计算机；量子门；金刚石NV色心；铯原子钟；频率基准；频率标准,5,9,3,7,"企业,学校；学校；学校,学校",量子传感器/精密测量,量子传感,核心量子企业
北京航空航天大学,中国,北京市,2021,2023,19,161,8.473684210526315,量子传感；量子计算；量子通信与安全,其他量子相关/待复核；量子传感器/精密测量；量子计算系统；量子计量/时间频率/PNT候选；量子通信与安全,NV色心；光调制器；原子钟；原子频标；激光器；量子传感；量子传感器；量子态；量子技术；量子机器学习；量子比特；量子测量；量子电路；量子精密测量；量子网络；量子计算；量子计算机；量子门；金刚石NV色心；频率基准,5,11,0,3,"学校；科研单位,学校",量子传感器/精密测量,量子传感,核心量子企业
北京航空航天大学杭州创新研究院,中国,杭州,2024,2025,5,74,14.8,量子计算,量子计算系统,保真度；量子态；量子机器学习；量子比特；量子电路；量子线路；量子计算；量子计算机；量子门,5,0,0,0,"科研单位；科研单位,学校",量子计算系统,量子计算,核心量子企业
北京蜂窝科技有限公司,中国,北京,2025,2025,1,19,19.0,量子计算,量子计算系统,量子态；量子比特；量子计算；量子门,1,0,0,0,企业,量子计算系统,量子计算,较高相关企业
北京视盾科技发展有限公司,中国,北京,2025,2025,1,2,2.0,量子基础概念,其他量子相关/待复核,量子态,0,0,1,0,企业,其他量子相关/待复核,量子基础概念,候选/待复核企业
北京计算机技术及应用研究所,中国,北京,2024,2025,2,13,6.5,量子计算；量子通信与安全,量子计算系统；量子通信与安全,抗量子攻击；量子线路；量子计算；量子门,1,1,0,0,科研单位,量子计算系统,量子计算,较高相关企业
